"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
87,2,5.35861010422239e-22,0.654314265381398,1.03372797247068e-83,0.345685734618602,"Jinyan Fan","Auburn University",2004,0,22,2,4.04545454545455
98,2,8.79983761499561e-07,0.710954212166605,2.41655523881918e-05,0.289020742297245,"Josh Prasad","Colorado State University",2019,0,7,0,3.28571428571429
21,2,1.85476609532188e-05,0.894639017390723,0.0662611831915613,0.0390812517567623,"Kaylee Litson","University of Houston",2023,0,3,0,5
96,2,1.83901075085281e-09,0.979124440073224,0.000459615700960338,0.020415942386805,"Keaton Fletcher","Colorado State University",2019,0,7,0,5.28571428571429
8,2,5.06667266467133e-91,0.999999999899505,0,1.00494891382448e-10,"Kevin Ford","Michigan State University",1983,0,43,2,10.2093023255814
9,2,2.07713735060794e-10,0.991655332968277,0.000863859507547883,0.00748080731646173,"Kevin Hoff","Michigan State University",2019,0,7,0,5
85,2,1.29116169385467e-70,0.999999483916499,0,5.16083500642564e-07,"Kevin Williams","University at Albany, SUNY",1984,0,42,2,6.69047619047619
92,2,1.86172757510899e-09,0.764565760519524,0.234253268301579,0.00118096931716909,"Louis Hickman","Virginia Tech",2022,0,4,0,7.25
50,2,1.8765507730849e-25,0.999988099194899,5.17833745099934e-29,1.19008051006745e-05,"Malissa Clark","University of Georgia",2010,0,16,2,5.6875
37,2,1.3057010369807e-34,0.999996912589937,2.29188494109735e-65,3.08741006344824e-06,"Margaret Beier","Rice University",2004,0,22,2,5.81818181818182
121,2,7.00524373951459e-19,0.999710371431788,4.61428338854725e-20,0.000289628568211864,"Marissa Shuffler","Clemson University",2013,0,13,2,5.46153846153846
2,2,5.79842719214762e-42,0.999999999716646,9.9933178750313e-55,2.83354490627856e-10,"Nathan Bowling","University of Central Florida",2005,0,21,2,7.52380952380952
6,2,1.35514490795211e-30,0.999999923574169,1.37277924666878e-23,7.64258310516107e-08,"Nathan T. Carter","Michigan State University",2010,0,16,2,6.75
125,2,6.78250302556625e-88,1,2.88486323339954e-34,6.327253756658e-28,"Nils Olsen","George Washington University",2002,0,24,1,15
90,2,6.79412238927399e-05,0.858589235658007,0.0699623877634425,0.0713804353546573,"Paige Watson","Auburn University",2023,0,3,0,4.66666666666667
120,2,4.00089913506738e-26,0.999582312812481,2.3879918523228e-43,0.000417687187518626,"Patrick Rosopa","Clemson University",2007,0,19,2,5.05263157894737
56,2,4.38034938056028e-34,0.99998862610115,1.49964696408731e-81,1.13738988499848e-05,"Reeshad S. Dalal","George Mason University",2003,0,23,2,5.52173913043478
5,2,2.93186304773468e-49,0.999999999993424,6.57368326998324e-12,2.22510736613745e-15,"Richard Landers","University of Minnesota",2009,0,17,2,10.5882352941176
122,2,8.33860739208484e-47,0.999999994625973,1.80286600788609e-99,5.37402686189898e-09,"Robert R. Sinclair","Clemson University",2000,0,26,2,6.76923076923077
36,2,6.00515454450055e-27,0.999995637045851,3.11647696415807e-23,4.36295414924953e-06,"Sang Eun Woo","Purdue University",2010,0,16,2,6.1875
61,2,1.02030059502936e-07,0.71142072091443,2.69718351817237e-06,0.288576479871993,"Sarah Wittman","George Mason University",2018,0,8,0,3.5
57,2,3.35502953747439e-31,0.99999564768673,7.87946753900017e-54,4.35231327002375e-06,"Seth Kaplan","George Mason University",2006,0,20,2,5.6
113,2,3.69549284652987e-46,0.999999996464727,1.69634303912765e-83,3.5352726811996e-09,"Shane Connelly","University of Oklahoma",2001,0,25,2,7.52
17,2,1.42940958497221e-42,0.999999722032706,7.53343959068354e-106,2.7796729430776e-07,"Stephanie C. Payne","Texas A&M University",2000,0,26,2,6.23076923076923
31,2,2.91282123551353e-32,0.999745580724948,2.05868083438407e-95,0.000254419275051708,"Stephen Stark","University of South Florida",2002,0,24,2,5.16666666666667
59,2,0.000811604006574991,0.571327735308686,0.00584263374605087,0.422018026938688,"Yijue Liang","George Mason University",2022,0,4,0,3
51,2,6.7481423960418e-07,0.85127682752407,0.140577084314041,0.00814541334764923,"Yimin He","University of Georgia",2023,0,3,0,6.66666666666667
123,2,3.19095628403555e-15,0.999708622705344,1.79256126257458e-06,0.000289584733390111,"Yisheng Peng","George Washington University",2017,0,9,1,5.55555555555556
18,2,1.13948730047655e-05,0.827972955494364,0.00393933536250084,0.168076314270131,"Ze (Mia) Zhu","Texas A&M University",2021,0,5,0,3.6
1,3,2.96173394605896e-26,0.000427596314133707,0.999572403683359,2.5072717762343e-12,"Bo Zhang","University of Illinois Urbana-Champaign",2020,0,6,1,14.8333333333333
116,3,3.10514133132425e-163,7.36043998426187e-59,1,5.16620107155585e-91,"Cong Liu","Rutgers University",2003,0,23,2,25.6521739130435
16,3,1.38651518534988e-11,0.381283644241723,0.618681666726433,3.46890179787162e-05,"Ian Hughes","Texas A&M University",2023,0,3,0,13.3333333333333
35,3,5.57612619944999e-70,2.0632851549812e-14,0.999999999999979,3.26356210791694e-34,"Louis Tay","Purdue University",2013,0,13,2,17.8461538461538
43,3,5.16463334630996e-18,0.0209658608363893,0.979034089740283,4.94233274555332e-08,"TianJun Sun","Rice University",2021,0,5,0,12.2
23,3,1.39235300153252e-26,0.000289156447136416,0.999710843552335,5.28415429983501e-13,"Xiaowen Chen","Saint Louis University",2021,0,5,0,19.6
55,4,0.0003650855371179,0.000603052572822582,2.85340019149331e-22,0.999031861890059,"Afra Saeed Ahmad","George Mason University",2016,0,10,1,2.1
100,4,0.000205306860341512,1.8389374175588e-07,7.56091649893488e-75,0.999794509245917,"Alyssa Gibbons","Colorado State University",2007,0,15,1,2
3,4,3.54208330186055e-17,1.71064395014493e-08,3.39737569647491e-172,0.99999998289356,"Anita Blanchard","University of North Carolina at Charlotte",1999,0,27,2,2.96296296296296
108,4,0.176628887043995,0.019861787878535,6.25585362868422e-06,0.803503069223841,"Anna Gödöllei","CUNY Graduate Center",2022,0,4,0,1.25
67,4,1.75268282035622e-09,0.00140261866321618,5.73256949616121e-41,0.998597379584101,"C. Shawn Burke","University of Central Florida",2011,1,15,1,2.66666666666667
109,4,7.68633123246828e-17,0.000328929703834236,1.79060441550009e-115,0.999671070296166,"Charles Scherbaum","CUNY Graduate Center",2003,0,23,2,3.60869565217391
101,4,5.71149392985721e-07,0.00854870799953034,5.69595419883023e-18,0.991450720851077,"Clair Reynolds Kueny","Missouri University of Science & Technology",2015,0,11,1,2.81818181818182
49,4,3.82004037444303e-38,1.40309979228123e-13,0,0.99999999999986,"James Rounds","University of Illinois Urbana-Champaign",1982,0,44,2,4.20454545454546
58,4,6.33347889706696e-08,0.0940099632057879,1.33766309579606e-19,0.905989973459423,"Lauren E. Kuykendall","George Mason University",2015,0,11,1,3.27272727272727
44,4,0.408718853910155,0.00500202817309178,1.77706973229455e-06,0.586277340847021,"Leo Alexander III","University of Illinois Urbana-Champaign",2022,0,4,0,0.75
46,4,1.51922525875769e-23,0.000110320437641136,1.33574549137012e-146,0.999889679562359,"Louise Fitzgerald","University of Illinois Urbana-Champaign",1982,0,27,2,4.07407407407407
54,4,0.0207388002195299,0.00828083412006631,5.0730372868163e-09,0.970980360587366,"Melissa Robertson","University of Georgia",2020,0,6,0,1.5
38,4,1.87814951134081e-16,6.22895347027492e-12,5.27925508544482e-174,0.999999999993771,"Mikki Hebl","Rice University",1998,0,28,2,3.92857142857143
15,4,1.54454207254622e-23,0.0422818416652372,4.83303592885305e-119,0.957718158334763,"Mindy Bergman","Texas A&M University",2001,0,25,2,4.4
53,4,0.329209139012102,7.52387890789768e-05,8.96534697181728e-14,0.670715622198729,"Neal Outland","University of Georgia",2019,0,7,0,0.857142857142857
93,4,0.256704456303912,0.011416579945393,5.21937557361989e-06,0.731873744375121,"Ning Hsu","Virginia Tech",2022,0,4,0,1
11,4,1.97858606617758e-16,1.48535323696319e-09,4.08539839136874e-169,0.999999998514647,"Quinetta Roberson","Michigan State University",1999,0,27,2,3
24,4,2.83716498322627e-09,4.70443231121071e-17,1.85121376748032e-288,0.999999997162835,"Richard D. Harvey","Saint Louis University",1995,1,31,0,2.19354838709677
72,4,3.00587498771472e-05,0.0764456407682439,1.00300769542265e-10,0.923524300381578,"Shiyang Su","University of Central Florida",2018,0,8,0,2.375
29,4,2.07331011531059e-36,8.86929532987876e-15,0,0.999999999999991,"Steve W. J. Kozlowski","University of South Florida",1982,0,44,2,4.18181818181818
84,4,3.83191242487983e-12,1.34220937964278e-13,2.73747319720727e-230,0.999999999996034,"Sylvia Roch","University at Albany, SUNY",1997,0,29,2,2.6551724137931
126,4,0.00361314981359818,0.359706567362562,0.00103625239303011,0.635644030430809,"Tiffany Bisbey","George Washington University",2022,0,4,0,2.25
103,4,0.337094666869174,0.000308749585225987,2.23226724964062e-10,0.662596583322373,"Vahe Permzadian","Missouri University of Science & Technology",2020,0,6,0,1.16666666666667
81,4,0.108603409116707,0.0315548735351582,3.30333690055895e-05,0.859808683979129,"Vanessa Burke","Louisiana State University",2022,0,4,0,1.5
77,4,5.97496571405519e-22,1.18185221825354e-06,1.54455647761193e-201,0.999998818147782,"Vicki Magley","University of Connecitcut",1997,0,29,2,3.68965517241379
