"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","posterior_class_5","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
111,3,1.09434281453114e-29,1.7042126616248e-11,0.999999999982958,1.48635331542594e-77,8.72781772738537e-67,"Adrienne Carter-Sowell","University of Oklahoma",2010,0,16,2,0.0625
32,3,6.85772381367425e-07,0.00539661274634088,0.967235814544284,3.111609824855e-22,0.0273668869369943,"Alexandra Harris-Watson","Purdue University",2022,0,4,0,0
69,3,3.90243273130204e-57,1.68186745207604e-21,1,4.80672948297721e-121,0,"Barbara Fritzsche","University of Central Florida",1996,0,30,1,0.333333333333333
19,3,1.7724536645343e-34,1.84787072996137e-13,0.999999999999815,1.27609943857337e-86,1.71433914298424e-97,"Bradley Brummel","University of Houston",2008,1,18,1,0.0555555555555555
73,3,8.55729914084138e-17,1.97945980268642e-06,0.999998020540197,3.58606361011306e-49,2.6920600014702e-19,"Brent Reed","University of North Carolina at Charlotte",2013,0,10,1,0.1
13,3,4.00105768665282e-14,1.26620459702925e-05,0.999987248961903,2.51023363507858e-42,8.89920869911884e-08,"Chris Wiese","Georgia institute of technology",2018,0,8,1,0
10,3,1.60454030142915e-27,1.07852591425622e-10,0.999999999892147,8.30203150057813e-73,9.57330001551981e-57,"Christopher Nye","Michigan State University",2011,0,15,1,0.0666666666666667
119,3,2.09731986669434e-66,5.63443553244164e-28,1,3.98381569856727e-132,0,"Cindy Pury","Clemson University",1997,0,29,2,0.0344827586206897
97,3,1.30346957419891e-08,0.00133864354146738,0.990660393876743,2.50692477552917e-27,0.00800094954709446,"Danielle Gardner","Colorado State University",2021,0,5,0,0
83,3,1.31383860650571e-23,8.39278219506479e-09,0.999999991607218,1.27741236041557e-65,6.43588256826889e-43,"Dev Dalal","University at Albany, SUNY",2012,0,14,1,0.142857142857143
39,3,8.87981214926263e-21,0.000135343724443809,0.999864656275556,3.1833093831688e-65,2.68442063894644e-110,"Eden King","Rice University",2006,0,20,2,0.75
112,3,4.60257655447341e-37,6.76489343346008e-11,0.999999999932351,1.22532596140278e-88,0,"Eric Day","University of Oklahoma",1998,0,27,2,0.851851851851852
41,3,5.3758227302148e-47,2.59295748664643e-16,1,2.50339997481027e-107,0,"Fred Oswald","Rice University",1998,0,28,2,0.392857142857143
124,3,2.13606241097864e-18,0.0981719126728344,0.901828087327166,3.28747746253463e-63,2.5314942562713e-163,"Gelaye Debebe","George Washington University",2003,0,23,1,1.39130434782609
99,3,1.99847061539356e-13,0.00237251195126195,0.997627488048538,2.85166551377192e-47,8.30779343233106e-27,"Gwen Fisher","Colorado State University",2013,0,13,2,0.692307692307692
114,3,8.59940049156835e-48,2.95793314531472e-19,1,3.26613392384007e-108,6.10403287624076e-220,"Jennifer Kisamore","University of Oklahoma",2003,0,23,2,0.0434782608695652
89,3,0.00081080380970593,0.114960119318591,0.870919108566008,2.36501684684201e-14,0.0133099683056713,"John Schmidt","Auburn University",2023,0,3,0,0.333333333333333
4,3,4.00105768665282e-14,1.26620459702925e-05,0.999987248961903,2.51023363507858e-42,8.89920869911884e-08,"Kimberly French","Colorado State University",2018,0,8,1,0
110,3,2.7228461838082e-60,9.86257116074863e-25,1,8.18955932067189e-124,0,"Kristin Sommer","CUNY Graduate Center",1998,0,28,2,0.142857142857143
78,3,3.16797015333708e-05,0.0201643430888701,0.93565634220376,4.31204936085851e-17,0.044147635005837,"Lorena Solis","University of Connecitcut",2023,0,3,0,0
68,3,5.48750872605063e-53,1.54861664137897e-21,1,2.29855226704795e-115,6.91180070080234e-289,"Mark Ehrhart","University of Central Florida",2001,0,25,2,0.08
26,3,5.85151119808428e-29,1.0930007558555e-10,0.9999999998907,8.61161583753545e-77,1.66422682933942e-78,"Michael Gillespie","University of South Florida",2009,0,17,1,0.176470588235294
71,3,5.58040921773592e-29,1.68996181702418e-11,0.9999999999831,1.4753185315607e-75,1.40636777585134e-56,"Mindy Shoss","University of Central Florida",2011,0,15,2,0
115,3,0.00160757295220617,0.330021419240803,0.585696350519226,7.02557118401558e-16,0.0826746572877644,"Preston Lindsay","Rutgers University",2022,0,4,0,0.75
42,3,1.30346957419891e-08,0.00133864354146738,0.990660393876743,2.50692477552917e-27,0.00800094954709446,"Rebecca Brossoit","Rice University",2021,0,5,0,0
25,3,2.10373920334391e-48,7.71909360458366e-16,0.999999999999999,2.89161026190994e-111,0,"Tammy Allen","University of South Florida",1996,0,30,2,0.5
14,3,5.95652621279069e-101,1.13711621963063e-44,1,2.080546116782e-166,0,"Winfred Arthur, Jr.","Texas A&M University",1987,0,39,2,0.0512820512820513
107,3,1.47860576899744e-53,7.73426610516701e-22,1,1.53647142157206e-116,3.05576403777712e-288,"Yochi Cohen-Charash","CUNY Graduate Center",2001,0,25,2,0.04
1,4,1.11270945566124e-06,1.6981030749942e-15,5.04034748880366e-31,0.999998887290543,1.59218165058722e-25,"Bo Zhang","University of Illinois Urbana-Champaign",2020,0,6,1,14.8333333333333
60,4,0.0983601770885779,1.45738040133276e-19,8.42822537687457e-71,0.901639822911422,1.4285165028881e-91,"Deborah E. Rupp","George Mason University",2002,0,24,2,9.91666666666667
16,4,0.0053653631134206,2.47915587948191e-07,1.91068808877925e-14,0.994634388970972,8.13101783511462e-18,"Ian Hughes","Texas A&M University",2023,0,3,0,13.3333333333333
35,4,1.52774988227143e-17,1.03756606373003e-38,1.04724042988641e-78,1,1.20953843054922e-28,"Louis Tay","Purdue University",2013,0,13,2,17.8461538461538
125,4,2.30091289789396e-19,1.10582778842833e-48,5.96051256974099e-116,1,1.81014216248166e-101,"Nils Olsen","George Washington University",2002,0,24,1,15
5,4,3.84712833701591e-05,4.08631638945435e-21,4.22272576674978e-59,0.99996152871663,1.84986332156972e-28,"Richard Landers","University of Minnesota",2009,0,17,2,10.5882352941176
43,4,0.00540776232281742,4.54942180524335e-09,3.38468065914317e-20,0.994592233127761,4.24076508944875e-18,"TianJun Sun","Rice University",2021,0,5,0,12.2
23,4,2.92001166646137e-09,1.49951236447715e-18,1.14621409429068e-33,0.999999997079988,8.92042707708564e-32,"Xiaowen Chen","Saint Louis University",2021,0,5,0,19.6
116,5,7.84055400762611e-90,1.04578216809714e-124,5.35031276196943e-206,6.15820066938103e-83,1,"Cong Liu","Rutgers University",2003,0,23,2,25.6521739130435
103,5,0.000252325753481348,0.354872932932889,0.141131230320811,5.88103028347026e-21,0.503743510992818,"Vahe Permzadian","Missouri University of Science & Technology",2020,0,6,0,1.16666666666667
