"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","posterior_class_5","posterior_class_6","posterior_class_7","posterior_class_8","posterior_class_9","posterior_class_10","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
44,6,0.0668995318683792,1.82851940236893e-21,0.0393515834866123,0.000412711949432707,0.246350068146934,0.46584010028845,1.05904917730335e-11,0.0146819355289339,0.00303428965478415,0.163429779065884,"Leo Alexander III","University of Illinois Urbana-Champaign",2022,0,4,0,0.75
46,6,1.66405365204079e-06,1.29435121842079e-55,3.62118539839718e-226,2.78850745969555e-05,2.9127998758656e-20,0.996057215469087,1.68319759917969e-25,6.83296822616698e-05,0.0038449057204025,1.32457141224103e-37,"Louise Fitzgerald","University of Illinois Urbana-Champaign",1982,0,27,2,4.07407407407407
54,6,0.285654259923755,4.29995067185092e-25,0.00033830765902694,0.00103155845495033,0.0144994234868398,0.679921399214383,1.20289012814343e-12,0.000154103028338431,0.0166493891248457,0.00175155910665849,"Melissa Robertson","University of Georgia",2020,0,6,0,1.5
53,6,0.0399579118032004,3.84295571409707e-35,0.032469843337143,1.01284910789121e-06,0.277051892467393,0.56632058142307,7.66000281095159e-19,0.0280547512390054,0.000161155090529146,0.0559828517905516,"Neal Outland","University of Georgia",2019,0,7,0,0.857142857142857
93,6,0.11915234152062,3.34852107991789e-20,0.0164454978388411,0.00141506181461559,0.162735173793626,0.5973259377718,8.30691228464174e-11,0.00649670244526054,0.00803460688644224,0.0883946778457257,"Ning Hsu","Virginia Tech",2022,0,4,0,1
11,6,0.000281159327103192,1.64962342425304e-70,3.15972029677958e-255,4.85402504822878e-11,4.87553269291712e-13,0.999528640059116,4.19033121662865e-36,1.42961479968882e-05,0.000175904416755682,4.9343450076928e-27,"Quinetta Roberson","Michigan State University",1999,0,27,2,3
29,6,3.02161254879855e-15,5.52721613079463e-81,0,4.77535466545596e-14,2.21856287411356e-25,0.999999885379274,9.20730607819126e-44,1.01865550186193e-40,1.14620675798087e-07,1.04284095851613e-61,"Steve W. J. Kozlowski","University of South Florida",1982,0,44,2,4.18181818181818
81,6,0.18579479925742,1.35098372678811e-18,0.0120110685124206,0.00605896378735732,0.0680936573031745,0.677221233451852,1.08790408842431e-09,0.00215534732406799,0.0222275780791437,0.0264373511966599,"Vanessa Burke","Louisiana State University",2022,0,4,0,1.5
60,7,3.14371127465788e-32,3.50765647030893e-08,3.34991602421754e-110,0.000423068756081663,1.03764040007639e-69,1.2292595372832e-26,0.999576896167353,4.71204052080963e-42,4.29187242130853e-16,1.212046258663e-94,"Deborah E. Rupp","George Mason University",2002,0,24,2,9.91666666666667
5,7,3.86689643457447e-27,0.000148923588001037,7.75581006655336e-34,6.86068244247406e-06,4.88915214708087e-60,1.72727798820807e-27,0.999844215729549,1.84012835904352e-48,8.00940233144016e-15,3.42358706009271e-76,"Richard Landers","University of Minnesota",2009,0,17,2,10.5882352941176
43,7,2.9182671903649e-09,0.123984701184409,1.0815951344283e-20,0.0107368648953258,1.14615804329271e-21,7.28588011708112e-12,0.865258457994855,3.40805698895931e-26,1.9972999856864e-05,4.21615513633377e-25,"TianJun Sun","Rice University",2021,0,5,0,12.2
8,8,1.4162813211828e-94,8.17345246416123e-90,0,8.56463209605324e-36,1.81539245644507e-107,6.51723533984521e-35,4.97397206833343e-55,1,1.29732933379065e-67,5.53128442429864e-171,"Kevin Ford","Michigan State University",1983,0,43,2,10.2093023255814
38,8,8.72817686531113e-17,2.72418762292849e-93,2.2329638537828e-259,3.22038071746098e-23,1.10585607498577e-19,2.65024748013935e-07,3.13048253693906e-53,0.999999734975252,9.63012783097996e-18,1.4645732114867e-35,"Mikki Hebl","Rice University",1998,0,28,2,3.92857142857143
74,9,0.002246590724833,3.27119147665706e-29,1.29010055624753e-21,0.487657677462374,1.71268556668253e-16,0.00252929410742219,3.48426904454588e-11,6.03459491323813e-13,0.507566437669924,3.29234017338283e-24,"Alyssa McGonagle","University of North Carolina at Charlotte",2011,0,15,1,4.4
109,9,0.0344675582658359,1.00768858177454e-47,7.9752474343876e-170,7.17239968379631e-06,7.6457201831217e-18,0.000241895448208701,1.97855239257605e-22,3.47847003890832e-19,0.965283373886272,8.63101807258147e-29,"Charles Scherbaum","CUNY Graduate Center",2003,0,23,2,3.60869565217391
87,9,0.00011146316828228,2.56266943922972e-37,1.54296956110812e-115,0.0782541234145881,1.30751068381054e-22,0.000515295191063207,6.0029541459353e-15,2.1512911715421e-15,0.921119118226058,1.21492200163968e-35,"Jinyan Fan","Auburn University",2004,0,22,2,4.04545454545455
58,9,0.437568915903215,2.84236781819614e-29,2.38216736993276e-15,0.0158276413554621,1.00366578131972e-08,0.048859853034093,7.84496085223919e-13,5.94630861683985e-11,0.497743579608317,2.0048678575119e-12,"Lauren E. Kuykendall","George Mason University",2015,0,11,1,3.27272727272727
15,9,7.90620993192812e-05,5.77211145939069e-44,9.83809834213836e-180,0.0222382207303551,3.88596336753536e-22,0.0316312063672819,2.23492695218321e-18,1.17315069363083e-11,0.946051510791312,9.45983628083308e-38,"Mindy Bergman","Texas A&M University",2001,0,25,2,4.4
77,9,0.00253536756698321,6.4225493767878e-57,0,1.06891333104515e-06,3.46830377854909e-19,0.0334749954210499,2.57589579503121e-27,4.03785035831144e-17,0.963988568098636,6.49239811581698e-36,"Vicki Magley","University of Connecitcut",1997,0,29,2,3.68965517241379
111,10,1.20294389638544e-13,4.84052138622462e-111,4.22405931863355e-79,2.42192745459023e-37,0.0412243248898701,7.61273808407258e-13,1.69106554235083e-70,2.1244937890457e-07,2.25273282408423e-24,0.958775462659869,"Adrienne Carter-Sowell","University of Oklahoma",2010,0,16,2,0.0625
32,10,5.53239156715603e-05,8.03099200328088e-32,0.0245146204393882,2.3105446094986e-09,0.206638870697853,0.00268582083169574,1.73066869074954e-19,0.0822058476069947,1.36732881762083e-07,0.68389937746497,"Alexandra Harris-Watson","Purdue University",2022,0,4,0,0
69,10,1.1184582227384e-16,1.6317240422768e-172,0,2.1837280411755e-65,0.0992642444290764,1.45061011573256e-25,6.46139435961152e-116,2.4141016813434e-40,1.41296712526526e-34,0.900735755570923,"Barbara Fritzsche","University of Central Florida",1996,0,30,1,0.333333333333333
19,10,3.34075740489073e-15,7.79616485922801e-124,1.53112790804544e-115,7.3615773776179e-43,0.0241474693968608,3.16693578997528e-15,1.52562911386522e-79,4.08678926778243e-10,2.24152528936218e-27,0.975852530194454,"Bradley Brummel","University of Houston",2008,1,18,1,0.0555555555555555
73,10,8.72334517538926e-09,1.0810986816748e-70,1.36923529609157e-22,7.96839480669415e-22,0.139514043750579,5.37166253493386e-07,1.67522090949178e-43,0.00182374697620019,3.21687539409659e-15,0.858661663383619,"Brent Reed","University of North Carolina at Charlotte",2013,0,10,1,0.1
