"faculty_id","class_assignment","posterior_class_1","posterior_class_2","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
125,2,4.58365140014569e-236,1,"Nils Olsen","George Washington University",2002,0,24,1,15
93,2,9.33450057516516e-07,0.999999066549942,"Ning Hsu","Virginia Tech",2022,0,4,0,1
90,2,0.000632117022675273,0.999367882977325,"Paige Watson","Auburn University",2023,0,3,0,4.66666666666667
120,2,7.18061244405751e-82,1,"Patrick Rosopa","Clemson University",2007,0,19,2,5.05263157894737
115,2,5.85671810212464e-07,0.99999941432819,"Preston Lindsay","Rutgers University",2022,0,4,0,0.75
11,2,0,1,"Quinetta Roberson","Michigan State University",1999,0,27,2,3
42,2,2.46777414448116e-08,0.999999975322259,"Rebecca Brossoit","Rice University",2021,0,5,0,0
56,2,2.21174400149908e-269,1,"Reeshad S. Dalal","George Mason University",2003,0,23,2,5.52173913043478
24,2,0,1,"Richard D. Harvey","Saint Louis University",1995,1,31,0,2.19354838709677
5,2,1.61636656999629e-22,1,"Richard Landers","University of Minnesota",2009,0,17,2,10.5882352941176
122,2,0,1,"Robert R. Sinclair","Clemson University",2000,0,26,2,6.76923076923077
36,2,7.75585229274799e-29,1,"Sang Eun Woo","Purdue University",2010,0,16,2,6.1875
61,2,2.5612157801048e-07,0.999999743878422,"Sarah Wittman","George Mason University",2018,0,8,0,3.5
57,2,4.35311255434582e-121,1,"Seth Kaplan","George Mason University",2006,0,20,2,5.6
113,2,0,1,"Shane Connelly","University of Oklahoma",2001,0,25,2,7.52
72,2,1.19230436745683e-08,0.999999988076956,"Shiyang Su","University of Central Florida",2018,0,8,0,2.375
17,2,0,1,"Stephanie C. Payne","Texas A&M University",2000,0,26,2,6.23076923076923
31,2,0,1,"Stephen Stark","University of South Florida",2002,0,24,2,5.16666666666667
29,2,0,1,"Steve W. J. Kozlowski","University of South Florida",1982,0,44,2,4.18181818181818
84,2,0,1,"Sylvia Roch","University at Albany, SUNY",1997,0,29,2,2.6551724137931
25,2,0,1,"Tammy Allen","University of South Florida",1996,0,30,2,0.5
126,2,8.12167793586747e-06,0.999991878322064,"Tiffany Bisbey","George Washington University",2022,0,4,0,2.25
103,2,2.65009718909188e-08,0.999999973499028,"Vahe Permzadian","Missouri University of Science & Technology",2020,0,6,0,1.16666666666667
81,2,1.80534778008726e-06,0.99999819465222,"Vanessa Burke","Louisiana State University",2022,0,4,0,1.5
77,2,0,1,"Vicki Magley","University of Connecitcut",1997,0,29,2,3.68965517241379
14,2,0,1,"Winfred Arthur, Jr.","Texas A&M University",1987,0,39,2,0.0512820512820513
59,2,1.770835547516e-05,0.999982291644525,"Yijue Liang","George Mason University",2022,0,4,0,3
51,2,0.0122485573411335,0.987751442658866,"Yimin He","University of Georgia",2023,0,3,0,6.66666666666667
123,2,4.10321707645235e-05,0.999958967829236,"Yisheng Peng","George Washington University",2017,0,9,1,5.55555555555556
107,2,0,1,"Yochi Cohen-Charash","CUNY Graduate Center",2001,0,25,2,0.04
18,2,1.7984629619704e-05,0.99998201537038,"Ze (Mia) Zhu","Texas A&M University",2021,0,5,0,3.6
