"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
14,3,4.00534887630217e-112,0,1,4.15399008248946e-34,"Winfred Arthur, Jr.","Texas A&M University",1987,0,39,2,0.0512820512820513
107,3,2.16227181034034e-77,0,0.999999999999995,4.68116256674447e-15,"Yochi Cohen-Charash","CUNY Graduate Center",2001,0,25,2,0.04
64,4,3.49962246505408e-36,0,3.86998921465518e-06,0.999996130010785,"Alicia Grandey","Pennsylvania State University",1999,0,27,2,5.18518518518519
74,4,2.93518376450489e-25,4.05958127615745e-63,0.00385991486729592,0.996140085132704,"Alyssa McGonagle","University of North Carolina at Charlotte",2011,0,15,1,4.4
105,4,7.64570668282047e-05,1.32492781103121e-17,0.0474280189199317,0.95249552401324,"Andrea Bazzoli","CUNY Graduate Center",2023,0,3,0,6.33333333333333
79,4,1.9066571492411e-17,1.4584341742223e-46,7.92521304622663e-06,0.999992074786954,"Asia A. Eaton","Florida International University",2012,0,14,2,6
34,4,1.99981223793166e-09,1.9360801404749e-38,5.04378582183106e-07,0.999999493621606,"Brooke N. Macnamara","Purdue University",2014,0,12,1,7.5
95,4,1.21800856984693e-16,1.15637138748406e-254,6.08148440998493e-10,0.999999999391851,"Bryan Dik","Colorado State University",2005,0,21,2,7.0952380952381
91,4,6.98322758174553e-16,5.99948336434042e-21,0.0230101120921236,0.976989887907876,"Charles Calderwood","Virginia Tech",2017,0,9,1,4.44444444444444
70,4,3.37586324165594e-14,4.33962705715892e-17,0.111160656804635,0.888839343195331,"Chelsea LeNoble","University of Central Florida",2019,0,7,0,3.85714285714286
7,4,9.15963614237583e-18,1.68453192325563e-233,9.081561986424e-11,0.999999999909184,"Chu-Hsiang (Daisy) Chang","Michigan State University",2005,0,21,2,7.14285714285714
30,4,4.22600517347962e-05,3.3252615218294e-18,0.0644411941189217,0.935516545829344,"Claire E. Smith","University of South Florida",2023,0,3,0,6
48,4,1.36079532563088e-20,3.97352777031377e-243,5.41045005185311e-09,0.99999999458955,"Daniel A Newman","University of Illinois Urbana-Champaign",2005,0,21,2,6.57142857142857
27,4,3.46758550617495e-08,9.37511845845982e-14,0.37332654960542,0.626673415718631,"Daniel Griffin","University of South Florida",2023,0,3,0,3
