"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","posterior_class_4","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
8,4,0,0,3.97411388981211e-57,1,"Kevin Ford","Michigan State University",1983,0,43,2,10.2093023255814
9,4,1.76595145755793e-15,0.000275591335263956,0.0114625453171987,0.988261863347536,"Kevin Hoff","Michigan State University",2019,0,7,0,5
85,4,0,0,2.87942945061593e-14,0.999999999999971,"Kevin Williams","University at Albany, SUNY",1984,0,42,2,6.69047619047619
58,4,3.38355981339996e-39,2.53425973865126e-05,0.428976789072111,0.570997868330502,"Lauren E. Kuykendall","George Mason University",2015,0,11,1,3.27272727272727
92,4,0.000155897183676887,0.000136064675298642,0.00576857135394273,0.993939466787082,"Louis Hickman","Virginia Tech",2022,0,4,0,7.25
46,4,1.38137862792104e-67,0,0.0321976418334984,0.967802358166502,"Louise Fitzgerald","University of Illinois Urbana-Champaign",1982,0,27,2,4.07407407407407
50,4,3.59841903230335e-42,6.80630976153501e-43,4.12029763933975e-06,0.999995879702361,"Malissa Clark","University of Georgia",2010,0,16,2,5.6875
37,4,3.25926326677314e-47,0,9.99324867076905e-09,0.999999990006751,"Margaret Beier","Rice University",2004,0,22,2,5.81818181818182
121,4,2.519700745227e-36,7.65958492545115e-16,0.000137204995736512,0.999862795004263,"Marissa Shuffler","Clemson University",2013,0,13,2,5.46153846153846
38,4,1.57037068215974e-98,0,0.00229476095452544,0.997705239045475,"Mikki Hebl","Rice University",1998,0,28,2,3.92857142857143
15,4,8.95761250042321e-55,0,0.00428803466400227,0.995711965335998,"Mindy Bergman","Texas A&M University",2001,0,25,2,4.4
2,4,1.40823832837652e-29,3.0237710011071e-256,5.41063873386224e-13,0.999999999999459,"Nathan Bowling","University of Central Florida",2005,0,21,2,7.52380952380952
6,4,5.03868449623675e-34,2.57549045496547e-39,8.30364784340267e-09,0.999999991696352,"Nathan T. Carter","Michigan State University",2010,0,16,2,6.75
90,4,1.18650965643201e-05,0.00452375807860516,0.165196775499106,0.830267601325724,"Paige Watson","Auburn University",2023,0,3,0,4.66666666666667
120,4,3.02988376477823e-53,2.57889646498937e-107,4.92528132864657e-06,0.999995074718671,"Patrick Rosopa","Clemson University",2007,0,19,2,5.05263157894737
56,4,1.17083574083974e-47,0,3.81924586645158e-07,0.999999618075413,"Reeshad S. Dalal","George Mason University",2003,0,23,2,5.52173913043478
5,4,1.62139704832625e-08,7.40337335811547e-42,2.63492738733065e-19,0.99999998378603,"Richard Landers","University of Minnesota",2009,0,17,2,10.5882352941176
122,4,8.83515689358124e-39,0,1.14096475286221e-13,0.999999999999886,"Robert R. Sinclair","Clemson University",2000,0,26,2,6.76923076923077
36,4,1.90916487918821e-37,4.22723693150755e-29,5.65667562011689e-08,0.999999943433244,"Sang Eun Woo","Purdue University",2010,0,16,2,6.1875
61,4,4.01403466788399e-23,0.00885133554129602,0.184292671087161,0.806855993371543,"Sarah Wittman","George Mason University",2018,0,8,0,3.5
57,4,2.28466438396651e-48,5.21165939736201e-184,6.79142331724123e-07,0.999999320857668,"Seth Kaplan","George Mason University",2006,0,20,2,5.6
113,4,1.21961574827129e-25,0,1.78732521724449e-16,1,"Shane Connelly","University of Oklahoma",2001,0,25,2,7.52
17,4,7.03687166920141e-42,0,6.14871597381954e-11,0.999999999938513,"Stephanie C. Payne","Texas A&M University",2000,0,26,2,6.23076923076923
31,4,2.75494610141136e-49,0,6.0713967793854e-06,0.999993928603221,"Stephen Stark","University of South Florida",2002,0,24,2,5.16666666666667
59,4,4.92108122795694e-10,0.0074092353560167,0.449465072781982,0.543125691369893,"Yijue Liang","George Mason University",2022,0,4,0,3
51,4,0.000441989590441728,0.00201479299201731,0.0352053733040026,0.962337844113539,"Yimin He","University of Georgia",2023,0,3,0,6.66666666666667
123,4,1.14514880375846e-21,3.57701131826261e-05,0.000984858872667688,0.99897937101415,"Yisheng Peng","George Washington University",2017,0,9,1,5.55555555555556
18,4,3.80496224174133e-12,0.00409032555352039,0.251132363086875,0.7447773113558,"Ze (Mia) Zhu","Texas A&M University",2021,0,5,0,3.6
