"faculty_id","class_assignment","posterior_class_1","posterior_class_2","posterior_class_3","faculty_name","university","career_start_year","never_asst_prof","career_length","n_promotions","mean_pub_count"
38,2,0.0530109703440632,0.946989029655937,0,"Mikki Hebl","Rice University",1998,0,28,2,3.92857142857143
15,2,0.0417751333905149,0.958224866609485,0,"Mindy Bergman","Texas A&M University",2001,0,25,2,4.4
2,2,6.09818336454299e-11,0.999999999939018,2.53881034533508e-218,"Nathan Bowling","University of Central Florida",2005,0,21,2,7.52380952380952
6,2,2.06690562581962e-07,0.999999793309437,9.49672194670646e-46,"Nathan T. Carter","Michigan State University",2010,0,16,2,6.75
125,2,7.4773053140281e-38,1,0,"Nils Olsen","George Washington University",2002,0,24,1,15
90,2,0.224862022184204,0.775028922231448,0.000109055584348283,"Paige Watson","Auburn University",2023,0,3,0,4.66666666666667
120,2,7.876944556047e-05,0.99992123055444,2.05558596710936e-115,"Patrick Rosopa","Clemson University",2007,0,19,2,5.05263157894737
56,2,1.0708909553188e-05,0.999989291090447,0,"Reeshad S. Dalal","George Mason University",2003,0,23,2,5.52173913043478
5,2,1.17430466416334e-16,1,2.37959368866378e-37,"Richard Landers","University of Minnesota",2009,0,17,2,10.5882352941176
122,2,2.44175202496962e-11,0.999999999975583,0,"Robert R. Sinclair","Clemson University",2000,0,26,2,6.76923076923077
36,2,1.12106206456302e-06,0.999998878937936,1.63513767505681e-41,"Sang Eun Woo","Purdue University",2010,0,16,2,6.1875
61,2,0.299585378804966,0.700414617595792,3.59924205909795e-09,"Sarah Wittman","George Mason University",2018,0,8,0,3.5
57,2,1.44874006223729e-05,0.999985512599378,4.34384285191417e-171,"Seth Kaplan","George Mason University",2006,0,20,2,5.6
113,2,6.83676240321577e-14,0.999999999999931,0,"Shane Connelly","University of Oklahoma",2001,0,25,2,7.52
17,2,6.03349333113239e-09,0.999999993966507,0,"Stephanie C. Payne","Texas A&M University",2000,0,26,2,6.23076923076923
31,2,0.000128728593764463,0.999871271406236,0,"Stephen Stark","University of South Florida",2002,0,24,2,5.16666666666667
51,2,0.0617263384423776,0.933719478826832,0.0045541827307907,"Yimin He","University of Georgia",2023,0,3,0,6.66666666666667
123,2,0.00383601913923728,0.996163048929942,9.31930820743862e-07,"Yisheng Peng","George Washington University",2017,0,9,1,5.55555555555556
18,2,0.337314913781995,0.662684094284741,9.91933263632843e-07,"Ze (Mia) Zhu","Texas A&M University",2021,0,5,0,3.6
1,3,8.76277119500897e-14,1.28269753102763e-05,0.999987173024602,"Bo Zhang","University of Illinois Urbana-Champaign",2020,0,6,1,14.8333333333333
116,3,0,0,1,"Cong Liu","Rutgers University",2003,0,23,2,25.6521739130435
16,3,3.22646542151632e-06,0.00769440747770828,0.99230236605687,"Ian Hughes","Texas A&M University",2023,0,3,0,13.3333333333333
35,3,1.68214832442392e-46,3.3866427102803e-22,1,"Louis Tay","Purdue University",2013,0,13,2,17.8461538461538
43,3,1.74523833150293e-07,0.0316875868480412,0.968312238628126,"TianJun Sun","Rice University",2021,0,5,0,12.2
23,3,1.12014213124846e-18,2.89994698413024e-09,0.999999997100053,"Xiaowen Chen","Saint Louis University",2021,0,5,0,19.6
